Y-coord,X-coord,OTP (1),Detox (2),Res (3),OP (4),FQHC (5),SPC (5),PCP (6),Emergency (7),Capacity,Provider Type,Usage,Waitlist,In Area,Name and Address,Target Pop
37.2489664,-121.77448,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3669233,-122.08468,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3210626,-121.82848,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3134795,-121.93426,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3134795,-121.93426,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3133744,-121.93443,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4274745,-122.16972,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4054073,-122.14001,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4387529,-122.17105,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4387529,-122.17105,0,0,0,0,0,0,0,0,0,bup,,,,,
37.2501057,-121.95553,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4415107,-122.16858,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3128569,-121.93327,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4330746,-122.17505,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3128569,-121.93327,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4415149,-122.16868,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3958804,-122.06304,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3156923,-121.93709,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4387529,-122.17105,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3363342,-121.99746,0,0,0,0,0,0,0,0,0,bup,,,,,
37.384645,-122.06495,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4381666,-122.17605,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3128569,-121.93327,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3596832,-121.84832,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4729407,-122.13249,0,0,0,0,0,0,0,0,0,bup,,,,,
37.2621485,-121.97055,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4387529,-122.17105,0,0,0,0,0,0,0,0,0,bup,,,,,
37.43868,-122.17067,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3134795,-121.93426,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4329388,-122.17499,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3128569,-121.93327,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3157332,-121.93713,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4343551,-122.17709,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4416426,-122.16931,0,0,0,0,0,0,0,0,0,bup,,,,,
37.326606,-121.94029,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4318367,-122.17924,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4318659,-122.17906,0,0,0,0,0,0,0,0,0,bup,,,,,
37.3128569,-121.93327,0,0,0,0,0,0,0,0,0,bup,,,,,
37.4415149,-122.16868,0,0,0,0,0,0,0,0,0,bup,,,,,
37.326606,-121.94029,0,0,0,0,0,0,0,0,0,bup,,,,,
